id,host,x,y,height,length,width,ln.size,occupied,total,ln.total,no_grn,no_str,no_dark,no_mal,no_cam,mal,con,conA,conC,pcon_mal,qimm,qimmA,qimmC,qimm_mal,qimmA_mal,qimmC_mal
A53,A,17,23,120,120,110,6.199755177,0,0,0,0,0,0,0,0,,0.796,0.469,0.327,0.41080402,0.466,0.312,0.688,0.466,0.312,0.688
A54,A,22.25,25,160,170,160,6.638688887,1,3,0.602059991,3,0,0,3,0,1,0.555,0.398,0.157,0.282882883,0.403,0.312,0.635,0.403,0.312,0.635
A55,A,23.5,22.75,220,280,100,6.789580712,1,7,0.903089987,2,4,1,2,4,0.333333333,0.59,0.462,0.128,0.216949153,0.426,0.37,0.629,0.426,0.37,0.629
A56,A,25.25,21,150,120,190,6.534026106,1,13,1.146128036,5,7,1,5,7,0.416666667,0.51,0.299,0.211,0.41372549,0.448,0.292,0.669,0.448,0.292,0.669
A57,A,28.5,22,100,80,70,5.748188027,0,0,0,0,0,0,0,0,,0.412,0.205,0.208,0.504854369,0.522,0.325,0.718,0.522,0.325,0.718
A58,A,28.25,20.25,90,80,60,5.635483747,0,0,0,0,0,0,0,0,,0.47,0.208,0.262,0.557446809,0.527,0.334,0.681,0.527,0.334,0.681
A59,A,26.25,24.5,140,70,110,6.032618761,1,1,0.301029996,1,0,0,1,0,1,0.437,0.323,0.114,0.260869565,0.387,0.29,0.663,0.387,0.29,0.663
A60,A,28.75,25,110,90,90,5.949877704,1,2,0.477121255,0,2,0,0,2,0,0.248,0.157,0.09,0.362903226,0.457,0.31,0.713,0.457,0.31,0.713
A61,A,9.25,26.5,160,170,160,6.638688887,1,2,0.477121255,0,2,0,0,2,0,0.37,0.138,0.232,0.627027027,0.449,0.17,0.614,0.449,0.17,0.614
A62,A,11.25,26.5,120,170,100,6.309630167,0,0,0,0,0,0,0,0,,0.553,0.174,0.379,0.685352622,0.489,0.184,0.629,0.489,0.184,0.629
A63,A,10.5,28.5,100,110,80,5.944482672,0,0,0,0,0,0,0,0,,0.525,0.107,0.418,0.796190476,0.502,0.17,0.587,0.502,0.17,0.587
A64,A,14.5,28,150,160,180,6.635483747,1,1,0.301029996,0,1,0,0,1,0,0.687,0.165,0.521,0.758369723,0.571,0.277,0.664,0.571,0.277,0.664
A65,A,13.5,28,180,150,180,6.686636269,1,2,0.477121255,1,1,0,1,1,0.5,0.618,0.124,0.494,0.799352751,0.54,0.141,0.64,0.54,0.141,0.64
A66,A,12.5,29.5,210,150,110,6.539703239,0,0,0,0,0,0,0,0,,0.679,0.108,0.571,0.840942563,0.531,0.232,0.588,0.531,0.232,0.588
A67,A,13.5,32.5,130,120,90,6.147367108,0,0,0,0,0,0,0,0,,0.581,0.051,0.53,0.91222031,0.511,0.187,0.542,0.511,0.187,0.542
A68,A,15.25,32.5,130,40,60,5.494154594,0,0,0,0,0,0,0,0,,0.588,0.062,0.526,0.894557823,0.511,0.187,0.549,0.511,0.187,0.549
A69,A,16,29.5,140,100,100,6.146128036,1,2,0.477121255,0,2,0,0,2,0,0.61,0.12,0.49,0.803278689,0.553,0.256,0.626,0.553,0.256,0.626
A70,A,17,25.75,110,90,85,5.92505412,0,0,0,0,0,0,0,0,,0.917,0.265,0.652,0.711014177,0.589,0.297,0.707,0.589,0.297,0.707
A71,A,21,27.25,150,100,180,6.431363764,1,6,0.84509804,2,4,0,2,4,0.333333333,0.509,0.248,0.261,0.512770138,0.51,0.39,0.624,0.51,0.39,0.624
A72a,A,23.75,31.25,140,100,90,6.100370545,1,3,0.653212514,2,1,0,2,1,0.571428571,0.67,0.159,0.511,0.762686567,0.502,0.41,0.531,0.502,0.41,0.531
A72b,A,24.75,29,100,140,110,6.187520721,1,3,0.653212514,2,1,0,2,1,0.571428571,0.498,0.214,0.283,0.568273092,0.459,0.358,0.536,0.459,0.358,0.536
A73,A,26.75,30.5,160,200,200,6.806179974,1,2,0.477121255,1,1,0,1,1,0.5,0.442,0.159,0.283,0.640271493,0.47,0.358,0.533,0.47,0.358,0.533
A74,A,28.25,31.25,170,70,90,6.029789471,1,1,0.301029996,0,1,0,0,1,0,0.324,0.108,0.216,0.666666667,0.503,0.41,0.55,0.503,0.41,0.55
A75,A,19,28.75,100,70,100,5.84509804,1,3,0.602059991,0,3,0,0,3,0,0.637,0.194,0.443,0.69544741,0.536,0.356,0.614,0.536,0.356,0.614
A76,A,25.5,26.25,90,90,100,5.908485019,1,2,0.477121255,0,2,0,0,2,0,0.403,0.287,0.116,0.287841191,0.446,0.385,0.597,0.446,0.385,0.597
A77,A,27.5,27,90,80,110,5.898725182,1,3,0.602059991,0,3,0,0,3,0,0.282,0.184,0.098,0.34751773,0.432,0.346,0.595,0.432,0.346,0.595
A78,A,29.75,26.5,90,100,80,5.857332496,0,0,0,0,0,0,0,0,,0.205,0.142,0.063,0.307317073,0.345,0.203,0.667,0.345,0.203,0.667
A79,A,4.25,38.5,80,90,60,5.635483747,0,0,0,0,0,0,0,0,,0.237,0.075,0.161,0.679324895,0.335,0.102,0.444,0.335,0.102,0.444
A80,A,6.25,39.25,90,150,110,6.171726454,1,1,0.301029996,0,1,0,0,1,0,0.464,0.148,0.316,0.681034483,0.357,0.14,0.458,0.357,0.14,0.458
A81,A,4.75,38,50,20,50,4.698970004,0,0,0,0,0,0,0,0,,0.289,0.08,0.209,0.723183391,0.349,0.114,0.439,0.349,0.114,0.439
A82,A,6.25,33.75,90,70,60,5.5774918,0,0,0,0,0,0,0,0,,0.449,0.028,0.421,0.937639198,0.4,0.151,0.416,0.4,0.151,0.416
A83,A,6,34.75,80,90,110,5.898725182,0,0,0,0,0,0,0,0,,0.393,0.036,0.357,0.908396947,0.366,0.152,0.387,0.366,0.152,0.387
A84,A,8.25,39,120,160,120,6.362482475,1,3,0.602059991,1,2,0,1,2,0.333333333,0.624,0.154,0.47,0.753205128,0.36,0.086,0.449,0.36,0.086,0.449
A85,A,11.25,37.25,130,180,200,6.670245853,1,1,0.301029996,0,1,0,0,1,0,0.701,0.069,0.632,0.901569187,0.459,0.218,0.486,0.459,0.218,0.486
A86,A,23.5,37.25,100,140,140,6.292256071,0,0,0,0,0,0,0,0,,0.512,0.027,0.486,0.94921875,0.569,0.452,0.575,0.569,0.452,0.575
A87,A,23,33,130,140,150,6.436162647,1,2,0.477121255,1,1,0,1,1,0.5,0.622,0.116,0.506,0.813504823,0.533,0.456,0.55,0.533,0.456,0.55
A88,A,22.75,34.5,120,180,120,6.413634997,0,0,0,0,0,0,0,0,,0.635,0.096,0.539,0.848818898,0.553,0.463,0.569,0.553,0.463,0.569
A89,A,25.25,33.5,100,80,70,5.748188027,0,0,0,0,0,0,0,0,,0.526,0.118,0.408,0.775665399,0.53,0.457,0.551,0.53,0.457,0.551
